,r,nmse_test,expression,directory
226,0.9900265477762228,0.0001014839452359,[0.062736182883663639*(210.4886740920162*(0.0689264059898497*x1**3*(sin(x1) - 0.6310448373019812) + 0.0689264059898497*x1 + 1)**2 - 17.604658203780147)*(sin(x1 + 5.4518816454973225) - 1.2958163447238413)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164805
92,0.9900266379909411,0.0001014820908063,[-29.49332191751883*(1 - 0.1977802354420924*x1)**2 + 2.309830286396002*sin(1.0972850256351687*((0.66269516090760667*x1 - 1)**2 + 0.14337171567010422)**2)**4 + 2.7901091912655165],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201058
724,0.9900268779952612,0.0001014771574258,[(1.5381942463934248*((cos(x1 - 0.3093745811882379) - 0.8564710126897438)**2 + cos(x1))**4 + 8.6936752949120924)*(cos(x1 + 3.319929307714282) - 0.865962033340135) - 5.220602530519109],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164701
289,0.9900293881658616,0.0001014255672389,[0.02567545780081374*x1*(-0.32385994130983886*(5885.8919345131977*(1 - 0.58911781704802881*x1)**9 - 185.4164123425902)*sin(0.974000608833323*x1) + 265.40475463632977) - 24.365719664149445],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-06-162444
467,0.9900295078313728,0.0001014231081521,[-x1**2 + 11.169588420526633*x1 + 2.940435606816831*(0.8351957966065413*(0.88716000460168054*x1 - 1)**3 - (cos(x1 + 2.698211745337423) + 0.6321980081443392)**4)**2 - 26.42368144833434],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-09-162348
95,0.9900297790828052,0.0001014175341371,[6.0362492164654134*x1 - 0.79766466940168561*sin(3.5786423007563926*(1 - 0.68379291237246188*x1)**4) - 6.0362492164654134*sin(1.2934599866485825*(1 - 0.30375721524204491*x1)**2) - 18.702056862271409],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164736
415,0.990031481252712,0.0001013825593792,[1.2216835772438785 - 87.65512671480497/(0.8118043792753923*(0.07273564165521594*x1 + 1)**16 + 0.14753901182068729*(0.81008214355234926*x1 - 1)**16 + 2.5002039326563032)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
16,0.9900317740195262,0.0001013765444726,[16.758703193513358*tan(x1*(0.32250149042477181 - 0.30959952223531825/(2.1682897988438692e-17*x1**36 + 0.35530498147180164*x1 + 1)**3) - 0.9667983986108655)],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-06-162444
540,0.9900320639340522,0.0001013705883457,[-20.921538836313145*(0.36457820257557544*x1 - 1)**2 - sin(x1**2) + 3.9130303641575854*sin(1.9101024545592336*(0.76620157813527739*x1 - 1)**2 - 1.9989161534594704) - 3.1792563699940577],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164736
224,0.9900325051223008,0.0001013615247298,[7.6889247650460591*x1 - 7.6889247650460591*((-2.4897675495303231*(0.055757160679655672*x1 - 1)**3 - 1.849523944633226)*sin((x1 - 0.8670897281025833)**2 + 1.864826164046874) + 0.2122900468241244)**3 - 23.217060428038464],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-11-150408
